brand,skucode,upc,description,verbose_description,size,wholesale_price,retail_price
ARK NATURALS,NH0031,632634400002,BRUSHLESS TOOTHPASTE 12OZ,Breath-Less Brushless Toothpaste,12 oz,8.42,12.63
ARK NATURALS,NH0032,632634400019,BRUSHLESS TOOTHPASTE 18OZ,Breath-Less Brushless Toothpaste,18 oz,12.45,18.68
ARK NATURALS,NH8034,632634400095,DISPC BRSH TOOTHPST LARGE 30CT,Breath-Less Brushless Toothpaste Singles Dispenser Box (Large) Counter Display,30 ct,48,0
ARK NATURALS,NH8033,632634400088,DISPC BRSH TOOTHPST SM/MD 60CT,Breath-Less Brushless Toothpaste Singles Dispenser Box (SM/MD) Counter Display,60 ct,48,0
ARK NATURALS,NH8032,632634500078,DISPC JOINT RESCUE 20PC,Joint Rescue High Impact Counter Display,16 pc,285.8,0
ARK NATURALS,NH8030,632634500061,DISPC PET DENTAL  16PC,Pet Dental High Impact Counter Display,16 pc,147.94,0
ARK NATURALS,NH8031,632634500054,DISPF PET DENTAL  16PC,Pet Dental High Impact Floor Display,16 pc,166.96,0
ARK NATURALS,NH8029,632634500047,DISPF SEA MOBILITY 9OZ/24PC,Sea Mobility High Impact Floor Display,24 pc,198.32,0
ARK NATURALS,NH8028,63263450001,DISPF TOP SELLRS PWR WING 44PC,Top Sellers Power Wing Floor Display,44 pc,392.39,0
ARK NATURALS,NH0035,632634110109,DON'T SHED ON ME 8OZ,Don't Shed On Me,8 oz,5.75,8.65
ARK NATURALS,NH0052,632634110116,DONT WORRY DONT RINSE ME! 18OZ,Don't Worry Don't Rinse Me! Rinseless Waterless Foam Shampoo for Dogs & Cats,18 oz,6.75,10.25
ARK NATURALS,NH0013,632634110031,EARS ALL RIGHT 4OZ,Ears All Right,4 oz,8.14,12.21
ARK NATURALS,NH0012,632634110024,EYES SO BRIGHT 5OZ,Eyes So Bright,5 oz,11.29,16.94
ARK NATURALS,NH0041,632634110208,FLEA FLICKER TICK KICKER 8OZ,Flea Flicker Tick Kicker,8 oz,6.83,10.24
ARK NATURALS,NH0043,632634210014,GENTL DIGST SOFT CHEWS 120CHEW,Gentle Digest Soft Chews,120 chew,6.51,9.79
ARK NATURALS,NH0008,632634100087,GENTLE DIGEST 60C,Gentle Digest,60 capsule,5.51,8.27
ARK NATURALS,NH0009,632634100094,HAPPY TRAVELLER 30C,Happy Traveler,30 capsule,5.51,8.27
ARK NATURALS,NH0044,632634210021,HAPPY TRAVELR SOFTCHEWS 75CHEW,Happy Traveler Soft Chews,75 chew,6.51,9.79
ARK NATURALS,NH0046,632634710026,HEART HLTHY! WAG PLNTY! 60CHEW,Gray Muzzle Heart Healthy! Wags Plenty!,60 chew,6.7,13.5
ARK NATURALS,NH0022,632634100131,JOINT RESCUE SUPERSTRENGTH CHE,Joint Rescue Super Strength Chewable,90 tablet,22.84,34.26
ARK NATURALS,NH0021,632634100124,JOINT RESCUE SUPERSTRENGTH CHE,Joint Rescue Super Strength Chewable,60 tablet,16.54,24.81
ARK NATURALS,NH0016,632634110055,NEEM BUG FREE REPELLENT 8OZ,Neem Bug Free Repellent,8 oz,6.83,10.24
ARK NATURALS,NH0015,632634110048,NEEM BUG FREE SHAMPOO 8OZ,Neem Bug Free Shampoo,8 oz,6.09,9.14
ARK NATURALS,NH0051,632634710040,NO SHAMPOO! SHAMPOO SENIOR18OZ,No Shampoo! Shampoo Rinsless Waterless for Senior Pets Dogs & Cats,18 oz,6.75,10.25
ARK NATURALS,NH0042,632634100162,NO STAINS FUR ME 2.2OZ,"No Stains ""Fur"" Me",2.2 oz,9.75,14.75
ARK NATURALS,NH0005,632634100056,NU-PET CANINE 270WAF,Nu-Pet Canine Wafers,270 wafer,27.04,38.63
ARK NATURALS,NH0003,632634100032,NU-PET CANINE 30WAF,Nu-Pet Canine Wafers,30 wafer,4.2,6.3
ARK NATURALS,NH0004,632634100049,NU-PET CANINE 90WAF,Nu-Pet Canine Wafers,90 wafer,9.45,14.18
ARK NATURALS,NH0006,632634100063,NU-PET FELINE ANTIOXIDANT170GM,Nu-Pet Feline Antioxidant,150 gm,8.4,12.6
ARK NATURALS,NH0007,632634100070,NU-PET GRANULAR GREENS 240GM,Nu-Pet Granular Greens,240 gm,10.5,15.75
ARK NATURALS,NH0045,632634710019,OLD DOG! HAPPY JOINTS! 90CHEW,Gray Muzzle Old Dog! Happy Joints!,90 chew,6.7,13.5
ARK NATURALS,NH0034,632634400071,PLAQUE ZAPPER FIZZY 100MG,Breath-Less Fizzy Plaque Zapper,100 mg,9.28,13.92
ARK NATURALS,NH0033,632634400064,PLAQUE ZAPPER FIZZY 50MG,Breath-Less Fizzy Plaque Zapper,50 mg,8.85,13.28
ARK NATURALS,NH0025,632634110086,ROYAL COAT EFA EXPRESS 8OZ,Royal Coat EFA Express,8 oz,12.5,18.75
ARK NATURALS,NH0030,632634110093,ROYAL COAT EXPRESS 16OZ,Royal Coat Express,16 oz,22.5,33.75
ARK NATURALS,NH0019,632634200022,SEA MOBILITY CHICKEN JERKY22CT,Sea Mobility w-MSM/Gluc/Sea Cucumber - Chicken Jerky 22 CT,22 ct,8.26,12.4
ARK NATURALS,NH0029,632634200046,SEA MOBILITY LAMB 9OZ,"Sea Mobility, Lamb",9 oz,8.26,12.4
ARK NATURALS,NH0027,632634200039,SEA MOBILITY VENISON JERKY22CT,"Sea Mobility for Allergic Dogs, Venison Jerky",22 ct,9.5,14.25
ARK NATURALS,NH0018,632634200015,SEAMOBILITY PET JERKY BEEF22CT,Sea Mobility w-MSM/Gluc/Sea Cucumber - Beef Jerky 22 CT,22 ct,8.26,12.4
AROMA CRYSTAL THERAPY,RY0008,683502006079,CRYSTAL CLEAR LIP SAVER 2OZ,Crystal Clear Lip Saver,2 oz,3.41,4.69
AROMA CRYSTAL THERAPY,RY0007,683502004082,CRYSTALCLEAR FACE&BODYWASH 8OZ,Crystal Clear Face & Body Wash,8 oz,9,15
AROMA CRYSTAL THERAPY,RY8001,683502126074,DISPCCRYSTLCLR LIPSAVR.2OZ12PC,Crystal Clear Lip Saver Display,12 pc,40.95,4.69
AROMA CRYSTAL THERAPY,RY0001,683502001036,GARDENER'S DREAM CREAM 3OZ,Gardener's Dream Cream,3 oz,11.1,18.5
AROMA CRYSTAL THERAPY,RY0002,683502001067,GARDENER'S DREAM CREAM 6OZ,Gardener's Dream Cream,6 oz,17.99,29.99
AROMA CRYSTAL THERAPY,RY0003,683502001081,GARDENER'S DREAM CREAM 8OZ,Gardener's Dream Cream,8 oz,24.99,39.99
AROMA CRYSTAL THERAPY,RY0004,683502006017,GARDENER'S DREAM LOTION 8OZ,Gardener's Dream Lotion,8 oz,14.99,24.99
AROMA CRYSTAL THERAPY,RY0006,683502002309,MORNING DEW MOISTURIZER 4OZ,Morning Dew Moisturizer,4 oz,12.9,21.5
AROMA CRYSTAL THERAPY,RY0005,683502002026,OHM FACIAL CREAM 1.8OZ,Ohm Facial Cream,1.8 oz,19.98,33.3
AT LAST NATURALS,AV0016,366106148719,BORN AGAIN MSM CRM 2OZ,Born Again MSM Cream,2 oz,5.55,9.25
AT LAST NATURALS,AV0017,366106148818,BORN AGAIN MSM HERBL SOAP 3OZ,Born Again MSM Herbal Soap,3 oz,3.75,6.25
AT LAST NATURALS,AV0009,366106300926,INNERTABS 200T,Innertabs,200 tablet,7.86,13.1
AT LAST NATURALS,AV0033,366106502610,MENO-HERBS 2 W/ PROTYKIN 90T,Meno-Herbs 2 w/Protykin,90 tablet,16.17,26.95
AT LAST NATURALS,AV0002,366106142311,WILDYAM CREAM 2OZ,Wild Yam Cream,2 oz,10.65,17.75
AT LAST NATURALS,AV0003,366106142410,WILDYAM EXTR STR GEL 2OZ,Wild Yam Extra Strength Gel,2 oz,13.5,22.5
AT LAST NATURALS,AV0005,366106502412,WILDYAM MENO HERBS 725MG 90T,Wild Yam Meno-Herbs,90 tablet,10.65,17.75
AT LAST NATURALS,AV0004,366106142519,WLDYM VAGNL MOISTGEL1.5OZ,Wild Yam Vaginal Moisturizing Gel,1.5 oz,5.85,9.75
ATTITUDE,JD0016,626232166002,3 IN1WSH POMGRNT CHRYBLSM 10OZ,Little Ones 3 in 1 Wash Pomegranate & Cherry Blossom,10 oz,6.63,9.99
ATTITUDE,JD0010,626232152289,AIR PURIFIER LAVNDREUCLYPT 8OZ,Natural Air Purifier Lavender Eucalyptus,8 oz,5.33,7.99
ATTITUDE,JD0009,626232152296,AIR PURIFIER PASSION FRUIT 8OZ,Natural Air Purifier Passion Fruit,8 oz,5.33,7.99
ATTITUDE,JD0006,626232124002,ANTISTATC ELIMNATR CLTHSHT 2CT,Anti-Static Eliminator Cloth Sheet 300 Load,2 ct,8.83,12.99
ATTITUDE,JD0073,626232104806,BATHROOM CLEANER 27OZ,Bathroom Cleaner,27 oz,3.31,4.99
ATTITUDE,JD0024,626232112016,BODY WASH REVIVAL 12OZ,Body Wash Revival,12 oz,6.63,9.99
ATTITUDE,JD0025,626232112023,BODY WASH SOOTHING 12OZ,Body Wash Soothing,12 oz,6.63,9.99
ATTITUDE,JD0032,626232182033,BODYFACE BAR DAYMSTR4.23OZ2BAR,Body & Face Bar Soap Daily Moisturizer,2 bar,6.63,9.99
ATTITUDE,JD0030,626232182019,BODYFACE BAR REVIVAL4.23OZ2BAR,Body & Face Bar Soap Revival,2 bar,6.63,9.99
ATTITUDE,JD0031,626232182026,BODYFACE BAR SOOTH4.23OZ2BAR,Body & Face Bar Soap Soothing,2 bar,6.63,9.99
ATTITUDE,JD0029,626232181036,BODYLOTN DAILY MOISTRIZER 12OZ,Body Lotion Daily Moisturizer,12 oz,6.63,9.99
ATTITUDE,JD0027,626232181012,BODYLOTN REVIVAL 12OZ,Body Lotion Revival,12 oz,6.63,9.99
ATTITUDE,JD0028,626232181029,BODYLOTN SKNRELF RELAX 12OZ,Body Lotion Skin Relief & Relaxing,12 oz,6.63,9.99
ATTITUDE,JD0026,626232112030,BODYWASH DAILY MOISTRIZER 12OZ,Body Wash Daily Moisturizer,12 oz,6.63,9.99
ATTITUDE,JD0022,626232111033,CONDTNR COLOR PROTECTION 12OZ,Conditioner Color Protection,12 oz,6.63,9.99
ATTITUDE,JD0023,626232111040,CONDTNR DAILY MOISTRIZER 12OZ,Conditioner Daily Moisturizer,12 oz,6.63,9.99
ATTITUDE,JD0021,626232111019,CONDTNR VOLUME SHINE 12OZ,Conditioner Volume & Shine,12 oz,6.63,9.99
ATTITUDE,JD0074,626232103809,DAILY SHOWER CLEANER 27OZ,Daily Shower Cleaner,27 oz,3.31,4.99
ATTITUDE,JD0036,626232119046,DEODORANT MEN ACTION 2.46OZ,Deodorant Men Action,2.46 oz,5.16,7.99
ATTITUDE,JD0035,626232119039,DEODORANT MEN FORCE 2.46OZ,Deodorant Men Force,2.46 oz,5.16,7.99
ATTITUDE,JD0033,626232119015,DEODORANT WOMEN LOTUS 1.69OZ,Deodorant Women Lotus,1.69 oz,5.16,7.99
ATTITUDE,JD0034,626232119022,DEODORANT WOMEN SOURCE 1.69OZ,Deodorant Women Source,1.69 oz,5.16,7.99
ATTITUDE,JD0049,626232162004,DIAPERS SIZE1-2 (6-15 LBS)36CT,Diapers Size 1-2 (6-15 LBS),36 ct,12.51,20.83
ATTITUDE,JD0050,626232163018,DIAPERS SIZE3 (13-28 LBS) 30CT,Diapers Size 3 (13-28 LBS),30 ct,12.51,20.83
ATTITUDE,JD0051,626232164015,DIAPERS SIZE4 (22-37 LBS) 26CT,Diapers Size 4 (22-37 LBS),26 ct,12.51,20.83
ATTITUDE,JD0052,626232165012,DIAPERS SIZE5 (27 LBS +) 22CT,Diapers Size 5 (27 LBS +),22 ct,12.51,20.83
ATTITUDE,JD0007,626232132267,DISHWASHER DETRGNT ECO 26POUCH,Dishwasher Detergent Eco Pouches,26 pouch,7.23,10.99
ATTITUDE,JD0008,626232132403,DISHWASHER DETRGNT ECO 40POUCH,Dishwasher Detergent Eco Pouches,40 pouch,9.93,14.99
ATTITUDE,JD0048,626232131796,DISHWASHING LIQUID BABY 23.7OZ,Little Ones Dishwashing Liquid for Baby Fragrance Free,23.7 oz,3.31,4.99
ATTITUDE,JD0072,626232131727,DISHWSH LQD CTRSZST 23.7OZ,Dishwashing Liquid Citrus Zest,23.7 oz,3.31,4.99
ATTITUDE,JD0071,626232131734,DISHWSH LQD WLDFLWR 23.7OZ,Dishwashing Liquid Wildflowers,23.7 oz,3.31,4.99
ATTITUDE,JD0075,626232520323,DTRGNT WILDFLOWER 35.5OZ,Detergent 3x for Baby 35 Loads Wildflower,35.5 oz,8.82,14.71
ATTITUDE,JD0013,626232170009,ECO BABY WIPES 72CT,Eco Baby Wipes,72 ct,5.96,9.99
ATTITUDE,JD0014,626232170016,ECO BABY WIPES TRIPACK72CT/3PC,Eco Baby Wipes Tripack,3 pc,11.04,15.99
ATTITUDE,JD0046,626232121339,FABRC SOFTNR FRGRNCFREE 35.5OZ,Little Ones Fabric Softener for Baby 35 Loads Fragrance Free,35.5 oz,5.88,9.81
ATTITUDE,JD0003,626232126594,FABRIC REFRSHER FRAG FREE 16OZ,Little Ones Fabric Refresher Concentrated Fragrance Free,16 oz,6.62,9.99
ATTITUDE,JD0039,626232140033,HANDSOAP LQD DAILYCARE 10OZ##V,Hand Soap Liquid Daily Care,10 oz,5.16,7.99
ATTITUDE,JD0037,626232140019,HANDSOAP LQD REVIVAL 10OZ##V,Hand Soap Liquid Revival,10 oz,5.16,7.99
ATTITUDE,JD0038,626232140026,HANDSOAP LQD SOOTHING 10OZ##V,Hand Soap Liquid Soothing,10 oz,5.16,7.99
ATTITUDE,JD0002,626232125597,LAUNDRY STAIN REMOVER 16OZ,Little Ones Laundry Stain Remover Concentrated Fragrance Free,16 oz,6.62,9.99
ATTITUDE,JD0005,626232125016,LAUNDRYSTAINFGHTRECO18POUCH##V,Laundry Stain Fighter Eco Pouches,18 pouch,8.83,12.99
ATTITUDE,JD0040,626232110098,LITTLE ONES 2 IN1 SHAMPOO 12OZ,Little Ones 2 in 1 Shampoo,12 oz,6.63,9.99
ATTITUDE,JD0043,626232181098,LITTLE ONES BODY LOTION 12OZ,Little Ones Body Lotion,12 oz,6.63,9.99
ATTITUDE,JD0042,626232112092,LITTLE ONES BODY WASH 12OZ,Little Ones Body Wash,12 oz,6.63,9.99
ATTITUDE,JD0044,626232183092,LITTLE ONES BUBBLE BATH 12OZ,Little Ones Bubble Bath,12 oz,6.63,9.99
ATTITUDE,JD0041,626232111095,LITTLE ONES CONDITIONER 12OZ,Little Ones Conditioner,12 oz,6.63,9.99
ATTITUDE,JD0045,626232140095,LITTLE ONES FOAM HANDSOAP 10OZ,Little Ones Liquid Foaming Hand Soap,10 oz,5.16,7.99
ATTITUDE,JD0047,626232120332,LNDRY DTRGNT FRGRNCFREE 35.5OZ,Little Ones Laundry Detergent for Baby 52 Loads Fragrance Free,35.5 oz,8.82,14.71
ATTITUDE,JD0076,626232125009,LNDRY STAIN FIGHTR REMOVR 27OZ,Laundry Stain Fighter Remover,27 oz,5.88,9.81
ATTITUDE,JD0015,626232166019,LOTION ALMOND MILK VANLA 10OZ,Little Ones Lotion Almond Milk & Vanilla,10 oz,6.63,9.99
ATTITUDE,JD0004,626232152203,NAT AIR PURIFIER FRAG FREE 8OZ,Little Ones Natural Air Purifier Fragrance Free,8 oz,5.33,7.99
ATTITUDE,JD0018,626232110029,SHAMPOO BODYWASH 2IN1 12OZ,Shampoo & Body Wash 2 in 1,12 oz,6.63,9.99
ATTITUDE,JD0019,626232110036,SHAMPOO COLOR PROTECTION 12OZ,Shampoo Color Protection,12 oz,6.63,9.99
ATTITUDE,JD0020,626232110043,SHAMPOO DAILY MOISTRIZER 12OZ,Shampoo Daily Moisturizer,12 oz,6.63,9.99
ATTITUDE,JD0017,626232110012,SHAMPOO VOLUME SHINE 12OZ,Shampoo Volume & Shine,12 oz,6.63,9.99
ATTITUDE,JD0001,626232101591,TOY SURFC CLNR FRAG FREE 16OZ,Little Ones Toy & Surface Cleaner Concentrated Fragrance Free,16 oz,6.62,9.99
AURA CACIA,AC0012,051381911058,#BERGAMOT ESSOIL.5OZ,Essential Oil Bergamot-Bergaptene Free (citrus bergamia),0.5 oz,8.99,14.99
AURA CACIA,AC0188,051381912789,#BERGAMOT-ORANGE .5OZ,Essential Oil Bergamot-Orange (citrus bergamia),0.5 oz,8.16,13.59
AURA CACIA,AC0016,051381911072,#CAMPHOR WHITE ESS OIL .5OZ,"Essential Oil Camphor, White (cinnamonium camphora)",0.5 oz,3.7,6.19
AURA CACIA,AC0025,051381911096,#CHAMOMILE ESS OIL .5OZ,Essential Oil Chamomile (ormenis multicaulls),0.5 oz,21.59,35.98
AURA CACIA,AC0039,051381911157,#CYPRESS ESS OIL .5OZ,Essential Oil Cypress (cypressus sempervirens),0.5 oz,5.39,8.99
AURA CACIA,AC8448,051381917661,#DISPC ESS OIL TEA TREE .5OZ/2,Essential Oil Tea Tree Counter Display,25 pc,124.75,0
AURA CACIA,AC8404,051381918149,#DISPC ESSENT OIL TOP SELLER25,Essential Oil Top Seller Counter Display,25 pc,143.75,0
AURA CACIA,AC8333,051381901912,#DISPC ESSENTIAL OIL 1TIER 39P,Organics Essential Oil 1 Tier Counter Display,39 pc,264.81,0
AURA CACIA,AC8334,051381901929,#DISPC ESSENTIAL OIL 2TIER 78P,Organics Essential Oil 2 Tier Counter Display,78 pc,508.17,0
AURA CACIA,AC8257,051381918873,#DISPC ESSENTIAL OILS 2OZ 12PC,Essential Oils Counter Display,12 pc,197.56,0
AURA CACIA,AC8482,051381918019,#DISPC EUCALYPTUS .5OZ/25PC,Essential Oil Eucalyptus Counter Display,25 pc,90,0
AURA CACIA,AC8473,051381915797,#DISPC PREC ESS OIL .5OZ/39PC,Precious Essentials Oil One Tier Counter Display,39 pc,330.27,0
AURA CACIA,AC8629,051381915759,#DISPC1TIER STNDR ESNTLOIL39PC,1-Tier Standard Essential Oil Counter Display,39 pc,200.07,0
AURA CACIA,AC0041,051381911164,#EUCALYPT ESS OIL .5OZ,Essential Oil Eucalyptus (e. globulus),0.5 oz,3.6,5.99
AURA CACIA,AC0103,051381911836,#EUCALYPT ESSEN OIL 2OZ,Essential Oil Eucalyptus (e. globulus),2 oz,10.79,17.98
AURA CACIA,AC0195,051381912857,#EUCALYPTUS-LEMON .5OZ,"Essential Oil Eucalyptus, Lemon (eucalyptus citriodora)",0.5 oz,3.38,5.63
AURA CACIA,AC0047,051381911195,#FRANKINCENSE ESSOIL .5OZ,Essential Oil Frankincense (boswella carteri),0.5 oz,17.03,28.39
AURA CACIA,AC0052,051381911591,#GRAPEFRUIT ESS OIL .5OZ,Essential Oil Grapefruit (citrus paradis),0.5 oz,5.9,8.99
AURA CACIA,AC0056,051381911225,#JUNIPER BERRY ESS OIL .5OZ,Essential Oil Juniper Berry (juniperus communis),0.5 oz,13.47,22.45
AURA CACIA,AC0060,051381911249,#LEMON ESSOIL .5OZ,Essential Oil Lemon (citrus limonum),0.5 oz,3.29,5.49
AURA CACIA,AC0531,051381911805,#LEMON EUCALYPT ESSENTIAL OIL ,Essential Oil Lemon Eucalyptus,2 oz,11.78,19.63
AURA CACIA,AC0064,051381911263,#LIME ESS OIL .5OZ,Essential Oil Lime (citrus aurantifolia),0.5 oz,3.23,5.39
AURA CACIA,AC0069,051381911614,#NUTMEG ESS OIL .5OZ,Essential Oil Nutmeg (mystica fragrans),0.5 oz,5.1,8.49
AURA CACIA,AC0462,051381912307,#PRC ESS OIL FRANKCSE W/JOJOBA,Precious Essentials Oil Frankincense w/Jojoba,0.5 oz,7.79,12.99
AURA CACIA,AC0467,051381912321,#PRC ESS OIL ROMAN CHAMLW/JOJO,Precious Essentials Oil Roman Chamomile w/Jojoba,0.5 oz,6.59,10.99
AURA CACIA,AC0110,051381911904,#ROSEMARY ESS OIL 2OZ,Essential Oil Rosemary (rosemarinus officinalis),2 oz,12.08,20.14
AURA CACIA,AC0079,051381911331,#ROSEMARY ESS OIL.5OZ,Essential Oil Rosemary (rosemarinus officinalis),0.5 oz,3.65,6.09
AURA CACIA,AC0083,051381911355,#SAGE ESS OIL .5OZ,Essential Oil Sage (salvia officinalis),0.5 oz,5.99,9.99
AURA CACIA,AC0089,051381911386,#TANGRINE ESS OIL .5OZ,Essential Oil Tangerine (citrus reticulata),0.5 oz,2.63,4.39
AURA CACIA,AC0091,051381911393,#TEA TREE ESS OIL .5OZ,Essential Oil Tea Tree (melaleuca alternafolia),0.5 oz,4.99,8.32
AURA CACIA,AC0263,051381911928,#TEA TREE ESS OIL 2OZ,Essential Oil Tea Tree (melaleuca alternafolia),2 oz,15.59,25.99
AURA CACIA,AC0674,051381997557,AIR FRESH SPRITZ CANDCANE 2OZ,Uplifting Air Freshening Spritz Candy Cane,2 oz,4.79,7.99
AURA CACIA,AC0005,051381911027,ANISE ESSENTIAL OIL .5OZ,Essential Oil Anise (pimpinella anisum),0.5 oz,9.67,16.11
AURA CACIA,AC0450,051381911706,APRICOT KERNEL OIL 4OZ,Pure Skin Care Oil Apricot Kernel,4 oz,3,5
AURA CACIA,AC0658,051381998103,ARGAN OIL CERTIFIED ORGANC 1OZ,Argan Oil Certified Organic,1 oz,8.99,14.99
AURA CACIA,AC0706,051381902094,ARGAN OIL CERTORG 1OZ,Argan Oil Certified Organic,1 oz,8.99,14.99
AURA CACIA,AC0407,051381885861,AROMA FOAM BATH CINNAMON YLANG,Aromatherapy Foam Bath Cinnamon Ylang,14 oz,7.49,12.49
AURA CACIA,AC0408,051381885762,AROMA FOAM BATH CINNAMON YLNG ,Aromatherapy Foam Bath Cinnamon Ylang,2.5 oz,1.97,3.29
AURA CACIA,AC0409,051381885878,AROMA FOAM BATH GINGER MINT 14,Aromatherapy Foam Bath Ginger Mint,14 oz,7.49,12.49
AURA CACIA,AC0410,051381885779,AROMA FOAM BATH GINGER MINT 2.,Aromatherapy Foam Bath Ginger Mint,2.5 oz,1.97,3.29
AURA CACIA,AC0505,051381885960,AROMA FOAM BATH KIDS CALMING 2,Kids Aromatherapy Foam Bath Calming,2.5 oz,1.97,3.29
AURA CACIA,AC0411,051381885892,AROMA FOAM BATH LAVENDER 14OZ,Aromatherapy Foam Bath Lavender,14 oz,7.49,12.49
AURA CACIA,AC0412,051381885793,AROMA FOAM BATH LAVENDER 2.5OZ,Aromatherapy Foam Bath Lavender,2.5 oz,1.97,3.29
AURA CACIA,AC0414,051381885786,AROMA FOAM BATH PATCHLI/ORNGE ,Aromatherapy Foam Bath Patchouli/Orange,2.5 oz,1.97,3.29
AURA CACIA,AC0413,051381885885,AROMA FOAM BATH PATCHLI/ORNGE ,Aromatherapy Foam Bath Patchouli/Orange,14 oz,7.49,12.49
AURA CACIA,AC0416,051381885755,AROMA FOAM BATH TANG/GRAPEFRT ,Aromatherapy Foam Bath Tangerine/Grapefruit,2.5 oz,1.97,3.29
AURA CACIA,AC0415,051381885854,AROMA FOAM BATH TANG/GRAPEFRT ,Aromatherapy Foam Bath Tangerine/Grapefruit,14 oz,7.49,12.49
AURA CACIA,AC0506,051381885953,AROMA KIDS FOAM BATH CHEERING ,Kids Aromatherapy Foam Bath Cheering,2.5 oz,1.97,3.29
AURA CACIA,AC0507,051381885977,AROMA KIDS FOAM BATH CLEARING ,Kids Aromatherapy Foam Bath Clearing,2.5 oz,1.97,3.29
AURA CACIA,AC0439,051381886332,AROMA MIST CINNAMON/YLANG YLAN,Aromatherapy Mist Cinnamon/Ylang Ylang,4 oz,4.79,7.99
AURA CACIA,AC0440,051381886349,AROMA MIST GINGER/MINT 4OZ,Aromatherapy Mist Ginger/Mint,4 oz,4.79,7.99
AURA CACIA,AC0441,051381886363,AROMA MIST LAVENDER 4OZ,Aromatherapy Mist Lavender,4 oz,4.79,7.99
AURA CACIA,AC0442,051381886356,AROMA MIST PATCHOULI/ORANGE 4O,Aromatherapy Mist Patchouli/Orange,4 oz,4.79,7.99
AURA CACIA,AC0443,051381886325,AROMA MIST TANGERINE/GRAPEFRUI,Aromatherapy Mist Tangerine/Grapefruit,4 oz,4.79,7.99
AURA CACIA,AC0474,051381921040,AROMA STICK CLEANSE TEA TREE .,Aromatherapy Stick Cleansing Tea Tree,0.29 oz,5.39,8.99
AURA CACIA,AC0475,051381921033,AROMA STICK COOL PEPPERMINT .2,Aromatherapy Stick Cool Peppermint,0.29 oz,5.39,8.99
AURA CACIA,AC0476,051381921026,AROMA STICK PURIFY EUCALYPTUS ,Aromatherapy Stick Purifying Eucalyptus,0.29 oz,5.39,8.99
AURA CACIA,AC0477,051381921019,AROMA STICK SOOTH LAVENDER .29,Aromatherapy Stick Soothing Lavender,0.29 oz,5.39,8.99
AURA CACIA,AC0159,051381913106,AROMATHERAPY ATOMIZER,Aromatherapy Atomizer,1 unit,7.8,12.99
AURA CACIA,AC0406,051381913151,AROMATHERAPY CAR DFSR RPLT FLT,Aromatherapy Car Diffuser Replacement Filter,1 unit,2.39,3.99
AURA CACIA,AC0405,051381913144,AROMATHERAPY CAR DIFFUSER,Aromatherapy Car Diffuser,1 unit,6.59,10.99
AURA CACIA,AC0436,051381913274,AROMATHERAPY POCKT DIFFUSER1PC,Aromatherapy Pocket Diffuser,1 unit,13.19,21.99
AURA CACIA,AC0437,051381913045,AROMATHERAPY ROOM DIFFUSER 1PC,Aromatherapy Room Diffuser,1 unit,8.99,14.99
AURA CACIA,AC0211,051381911966,AVOCADO OIL 4OZ,Avocado Oil,4 oz,5.61,9.35
AURA CACIA,AC0659,051381998134,BAOBAB OIL CERTIFIEDORGANC 1OZ,Baobab Oil Certified Organic,1 oz,8.99,14.99
AURA CACIA,AC0008,051381911041,BASIL SWEET ESSOIL .5OZ,Essential Oil Basil (ocimum basilcum),0.5 oz,6.95,11.59
AURA CACIA,AC0010,051381911546,BAY ESS OIL .5OZ,Essential Oil Bay (pimenta racemosa),0.5 oz,5.87,9.79
AURA CACIA,AC0535,051381882556,BODY CREAM ARM PTCHOLI SWT ORN,Body Cream Patchouli Sweet Orange,8 oz,6.79,11.29
AURA CACIA,AC0533,051381882532,BODY CREAM ARMTHRPY GINGER MIN,Body Cream Ginger Mint,8 oz,6.79,11.29
AURA CACIA,AC0534,051381882518,BODY CREAM ARMTHRPY LAVENDER 8,Body Cream Lavender,8 oz,6.79,11.29
AURA CACIA,AC0499,051381881016,BODY POLISH GINGER/MINT 8OZ,Body Polish Ginger/Mint,8 oz,7.19,11.99
AURA CACIA,AC0500,051381881023,BODY POLISH LAVENDER 8OZ,Body Polish Lavender,8 oz,7.19,11.99
AURA CACIA,AC0501,051381881030,BODY POLISH PATCHOULI/SWEETORN,Body Polish Patchouli/Sweet Orange,8 oz,7.19,11.99
AURA CACIA,AC0570,051381882631,BUBBLE BATH CMFRT GERNIUM 13OZ,Bubble Bath Comforting Geranium,13 oz,5.39,8.99
AURA CACIA,AC0571,051381882600,BUBBLE BATH LAVNDR HARVST 13OZ,Bubble Bath Lavender Harvest,13 oz,5.39,8.99
AURA CACIA,AC0572,051381882624,BUBBLE BATH SOOTHING HEAT 13OZ,Bubble Bath Soothing Heat,13 oz,5.39,8.99
AURA CACIA,AC0573,051381882617,BUBBLE BATH TRANQUILITY 13OZ,Bubble Bath Tranquility,13 oz,5.39,8.99
AURA CACIA,AC0563,051381887100,CALMING BABY OIL CERT ORG 4OZ,Baby Oil Calming Certified Organic,4 oz,5.39,8.99
AURA CACIA,AC0565,051381887087,CALMING MILK OATBATH CERTORG 1,Calming Milk and Oat Bath Certified Organic,1.75 oz,1.97,3.29
AURA CACIA,AC0567,051381887155,CALMING NURSERY DIFFUSER 1PC,Calming Nursery Diffuser,1 pc,9.59,15.99
AURA CACIA,AC0574,051381911638,CANDY CANE BLEND .5OZ,Candy Cane Blend,0.5 oz,5.99,9.99
